year,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,avg_wind_speed_kmh,peak_wind_gust_kmh
2000,16.686021844813435,10.933961343924475,21.211269546676377,660298.9,13.46376052265866,133.2
2001,16.89116754186733,11.121572345003454,21.47791340823405,667920.7,13.65084834887471,121.7
2002,16.967446034199114,11.307529471125177,21.553070230502687,716072.5,13.02733592920354,146.2
2003,16.85810761789601,11.172500195577344,21.47132701642582,756388.9,12.46382688333886,115.6
2004,16.84040946003314,11.164128317327929,21.468995429126707,758163.4,12.455997085975117,185.0
2005,17.26516015696295,11.346519481474795,21.70109778624274,743358.9,12.206589721515945,155.5
2006,17.10897300776379,11.482502626656075,21.830863848136552,806554.6,12.172704437622105,137.2
2007,17.14466384667719,11.467032193223355,21.880071655471763,793071.9,12.392783717634934,145.1
2008,16.98264624925687,11.390296339701749,21.740638270646038,795319.7,12.208134640102829,131.4
2009,17.36519902807638,11.685107800012391,22.029162589693414,806104.1,11.916379920617876,109.8
2010,17.52917238317628,11.907668935821823,22.16720364619968,896548.4,11.87241100951612,120.6
2011,17.20712531579823,11.701873396557312,21.95184883704266,849035.1,11.868541463780058,117.7
2012,17.324744129151274,11.836131191551136,22.110840450772717,870704.9,12.031607695353168,108.4
2013,17.2036896999014,11.712683770102693,21.813428624266976,873192.6,12.313762446657183,134.3
2014,17.377122592799683,11.801714618556385,22.207797001845712,873457.1,12.212786559811779,142.2
2015,17.740444341735525,12.267443373663477,22.491541825758922,879737.4,12.382581272556687,414.0
2016,17.69100825863364,12.356693240960071,22.398498701463048,934965.5,12.157938437116318,439.2
2017,17.60153526124928,12.126939843819505,22.25220465282642,956902.7,12.249982550207811,406.8
2018,17.67774945576125,12.382636012189522,22.17360177404295,953513.2,11.740551417248964,432.0
2019,17.86684731732583,12.535943912994874,22.43021624551068,925816.8,11.585403108255148,306.0
2020,17.967143632235988,12.60700684942528,22.521397011284616,918309.9,11.596660156409605,188.0
2021,17.813904191964156,12.943478602559294,23.124235649708925,1100713.6,10.735275604199119,356.0
2022,17.897157827846463,12.931993244302681,23.247151182767865,1229920.7,10.763786004502402,360.0
2023,18.761549888173047,13.733894635393487,24.126551767912982,823664.6,11.8559291349201,381.6
